warehouse,ItemCode,Description,Assortment,ItemGroup,ItemUnit,Stock,QtyToBeDelivered,CHK
3,430031,TURBAL TP200 4MM 1X10 MTR ROLL,5-Jan-00,Sheet Membrane-Turbal Products,EA, -   , -   ,-
3,440049-B10,CAPTILE GROUT FOREST GREEN G-102 (10KG),4-Jan-00,Cementitious Products,EA, -   , -   ,-
3,450002-P15,AC-500 WHITE PAIL 15,7-Jan-00,Sealant Products,EA, -   , -   ,-
3,601177,INSUJET J2 ( 2.8MM ),9-Jan-00,Trading Materials,EA, -   , -   ,-
4,101020-05,POLYTEX 50P,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,101028-04,BISPLAS NS5/BISLEY,1-Jan-00,Raw Materials,kg, -   , -   ,-
4,101039,POWER FLOW - SD 510,1-Jan-00,Raw Materials,kg, 152.00 , -   ,#N/A
4,10223-01,WACKER HDK N20,27-Jan-00,ABIR Stock,kg, -   , -   ,-
4,103024-02,Polyester Evalith 032/120,1-Jan-00,Raw Materials,LM, -   , -   ,-
4,103024,POLYESTER CARRIER 33/120,1-Jan-00,Raw Materials,LM, -   , -   ,-
4,103030-01,M-NONWOVEN POLYESTER 200 GSM,1-Jan-00,Raw Materials,LM, -   , -   ,-
4,104042-08,PIGMENT PASTE -CARBON BLACK -TC-34,1-Jan-00,Raw Materials,LT, 35.00 , -   ,#N/A
4,104042-12,PIGMENT PASTE -TC 31 -BROWN,1-Jan-00,Raw Materials,kg, 162.00 , -   ,#N/A
4,104069,TC-81 QUINOLINE YELLOW,1-Jan-00,Raw Materials,LT, 3.00 , -   ,#N/A
4,10414,RED OXIDE POWDER IOX R01,24-Jan-00,Nova Raw Material,kg, -   , -   ,-
4,105011,VINSOL RESIN,1-Jan-00,Raw Materials,kg," 6,644.00 ", -   ,#N/A
4,106005-06,HARDNER-KH-602,1-Jan-00,Raw Materials,kg," 4,140.00 ", -   ,#N/A
4,106005-27,RESINS-NPEL-128,1-Jan-00,Raw Materials,kg, 270.00 , -   ,#N/A
4,107008,CHLORINATED PARAFFINKG WAX-52%,1-Jan-00,Raw Materials,kg," 7,950.00 ", -   ,#N/A
4,107015,TOULENE,1-Jan-00,Raw Materials,kg," 1,800.00 ", -   ,#N/A
4,107034,DI BUTYL PHTHALATE,1-Jan-00,Raw Materials,kg, 98.00 , -   ,#N/A
4,201003,HYDROCHLORIC ACID,1-Jan-00,Raw Materials,kg, 133.00 , -   ,#N/A
4,201020-01,TRITOSIL H1K -600 ML-BEIGE,9-Jan-00,Trading Materials,EA, -   , -   ,-
4,301001-01,BARREL (NON-USEABLE) (METAL),13-Jan-00,Packing Materials,EA, -   , -   ,-
4,301001-03,BARREL (NON-USEABLE) (PLASTIC),13-Jan-00,Packing Materials,EA, -   , -   ,-
4,301008,POLYTHENE BAG - BLACK,13-Jan-00,Packing Materials,EA," 7,080.00 ", -   ,#N/A
4,301035-01,METAL PAIL 10 LITER PRINTED,13-Jan-00,Packing Materials,EA, 351.00 , -   ,#N/A
4,301037,SMALL WOODEN PALLETS,13-Jan-00,Packing Materials,EA, -   , -   ,-
4,301110,METAL PAIL 1 LITER,13-Jan-00,Packing Materials,EA, -   , -   ,-
4,301137,Plastic Cup  200 Gm.,13-Jan-00,Packing Materials,EA, 310.00 , -   ,#N/A
4,301141,PAPER BAG PRINTED 40 KG ( FINE BOND),13-Jan-00,Packing Materials,EA," 12,500.00 ", -   ,#N/A
4,301144,"METAL PAIL-15 LTR PRINTED ""ABIR SUPER PRIMER""",13-Jan-00,Packing Materials,EA, -   , -   ,-
4,430031,TURBAL TP200 4MM 1X10 MTR ROLL,5-Jan-00,Sheet Membrane-Turbal Products,EA, -   , -   ,-
4,601015,XYLENE,9-Jan-00,Trading Materials,kg, 900.00 , -   ,601015
4,601191-01,PU-10 GREY- AHLIA 600ml sausage packing,9-Jan-00,Trading Materials,EA, -   , -   ,-
4,601205,BACK UP ROD 10mm  800meters/Roll,9-Jan-00,Trading Materials,EA, -   , -   ,-
4,601212,CAP PU DURA GUARD,9-Jan-00,Trading Materials,EA, -   , -   ,-
4,601526,Cobalt Octoate 10%,9-Jan-00,Trading Materials,kg, -   , -   ,-
